ref	value
C1	100nF
C2	220nF
C3	220nF
C4	15nF
C5	15nF
C6	15nF
C7	15nF
C8	22nF
C9	22nF
C10	22pF
C11	100nF
C12	22pF
C13	10uF
C14	100nF
C15	22pF
C16	22pF
C17	10uF
C18	100nF
C19	100nF
C20	220nF
C21	220nF
C22	100nF
C23	220nF
C24	220nF
C25	100nF
C26	100nF
C27	100nF
C28	22nF
C29	22nF
C30	100nF
C31	22nF
C32	22nF
CHGALIM1	SWITCH_INV
CHGALIM2	SWITCH_INV
D1	LED
D2	LED
D3	LED
D4	LED
D5	LED
D6	LED
D7	LED
D8	LED
D9	LED
D10	LED
D11	BRIDGE
D12	BRIDGE
D13	LED
D14	LED
D15	BRIDGE
D16	BRIDGE
DAC1	DIODE
DAC2	DIODE
IC1	L6203
IC2	L6203
IC3	L298
IC4	L298
J1	USB_2
J2	USB_2
K1	CONN_3
K2	CONN_3
K3	CONN_3
K4	CONN_3
K5	CONN_3
K6	CONN_3
K7	CONN_3
K8	CONN_3
K9	CONN_3
K10	CONN_3
K11	CONN_3
K12	CONN_3
OK1	PC847
OK2	PC847
OK3	PC847
OK4	PC847
P1	CONN_5
P2	CONN_5
P3	CONN_2
P4	CONN_2
P5	CONN_8X2
P6	CONN_2
P7	CONN_2
P8	CONN_2
P9	CONN_2
P10	CONN_2
P11	CONN_2
P12	CONN_2
P13	CONN_2
R1	470o
R2	470o
R3	470o
R4	470o
R5	4.7ko
R6	4.7ko
R7	4.7ko
R8	4.7ko
R9	1ko
R10	1ko
R11	10o
R12	10o
R13	3.3ko
R14	3.3ko
R15	3.3ko
R16	3.3ko
R17	3.3ko
R18	3.3ko
R19	10ko
R20	470o
R21	10ko
R22	1.5ko
R23	10ko
R24	470o
R25	10ko
R26	10ko
R27	10ko
R28	10ko
R29	10ko
R30	10ko
R31	10ko
R32	10ko
R33	10ko
R34	1.5ko
R35	470o
R36	470o
R37	470o
R38	470o
R39	4.7ko
R40	4.7ko
R41	4.7ko
R42	4.7ko
R43	1ko
R44	1ko
R45	470o
R46	470o
R47	470o
R48	470o
R49	470o
R50	470o
R51	10ko
R52	10ko
R53	10ko
R54	10ko
R55	1ko
R56	1ko
R57	10o
R58	10o
R59	470o
R60	470o
R61	470o
R62	470o
R63	10ko
R64	10ko
R65	10ko
R66	10ko
R67	1ko
R68	1ko
R69	10o
R70	10o
SW1	SW_PUSH
SW2	SW_PUSH
SW4	SW_PUSH_SMALL
SW5	SW_PUSH_SMALL
SW6	SW_PUSH
SW7	SW_PUSH
SW8	SW_PUSH
SW9	SW_PUSH
SW10	SW_PUSH
SWCMD1	SWITCH_INV
SWCMD2	SWITCH_INV
SWCMD3	SWITCH_INV
U1	74HC74
U2	PIC18F4550
U3	PIC18F4550
U4	7805
U5	7805
U6	7805
X1	CRYSTAL
X2	CRYSTAL
